iter	Passed	Remaining
420	2314	25173
421	2318	25154
422	2323	25135
423	2327	25116
424	2331	25095
425	2335	25075
426	2339	25057
427	2343	25038
428	2348	25019
429	2352	25000
430	2356	24981
431	2360	24963
432	2364	24943
433	2369	24924
434	2373	24908
435	2377	24890
436	2381	24871
437	2386	24854
438	2390	24837
439	2394	24819
440	2399	24802
441	2403	24786
442	2408	24770
443	2412	24756
444	2417	24742
445	2421	24727
446	2427	24723
447	2433	24722
448	2439	24721
449	2444	24718
450	2449	24704
451	2453	24689
452	2463	24730
453	2472	24756
454	2485	24825
455	2496	24876
456	2506	24912
457	2519	24983
458	2529	25023
459	2538	25056
460	2551	25121
461	2555	25103
462	2569	25177
463	2580	25223
464	2587	25235
465	2599	25294
466	2605	25291
467	2618	25357
468	2629	25405
469	2635	25402
470	2645	25439
471	2651	25435
472	2659	25456
473	2669	25488
474	2680	25532
475	2685	25528
476	2695	25559
477	2703	25575
478	2714	25622
479	2719	25611
480	2729	25645
481	2737	25660
482	2750	25723
483	2754	25703
484	2766	25758
485	2771	25746
486	2784	25806
487	2794	25836
488	2802	25856
489	2814	25902
490	2819	25888
491	2829	25926
492	2837	25941
493	2850	26000
494	2861	26041
495	2867	26035
496	2872	26028
497	2885	26081
498	2895	26114
499	2903	26128
500	2916	26186
501	2922	26185
502	2927	26171
503	2932	26160
504	2937	26143
505	2941	26127
506	2947	26116
507	2951	26102
508	2956	26089
509	2961	26073
510	2966	26059
511	2971	26045
512	2976	26031
513	2981	26017
514	2985	25999
515	2991	25995
516	2996	25985
517	3001	25969
518	3006	25955
519	3010	25940
520	3015	25924
521	3020	25913
522	3025	25898
523	3030	25883
524	3035	25869
525	3041	25867
526	3046	25855
527	3050	25837
528	3055	25820
529	3059	25806
530	3064	25792
531	3069	25780
532	3075	25775
533	3080	25760
534	3084	25744
535	3089	25732
536	3094	25719
537	3099	25707
538	3105	25700
539	3111	25694
540	3116	25689
541	3121	25677
542	3127	25670
543	3132	25662
544	3138	25651
545	3143	25642
546	3148	25632
547	3153	25619
548	3158	25611
549	3164	25603
550	3168	25585
551	3173	25575
552	3178	25562
553	3182	25544
554	3187	25530
555	3193	25521
556	3198	25509
557	3202	25494
558	3214	25540
559	3219	25523
560	3232	25574
561	3241	25597
562	3249	25612
563	3260	25643
564	3267	25648
565	3279	25693
566	3285	25684
567	3297	25730
568	3302	25717
569	3314	25759
570	3322	25772
571	3332	25800
572	3343	25830
573	3350	25833
574	3362	25877
575	3367	25863
576	3379	25908
577	3389	25931
578	3400	25964
579	3412	26007
580	3418	25997
581	3431	26047
582	3440	26066
583	3450	26094
584	3463	26139
585	3469	26134
586	3482	26180
587	3493	26211
588	3498	26198
589	3506	26211
590	3517	26240
591	3530	26289
592	3539	26306
593	3550	26332
594	3561	26370
595	3567	26358
596	3580	26404
597	3589	26422
598	3598	26442
599	3610	26476
600	3615	26460
601	3624	26479
602	3634	26503
603	3647	26550
604	3653	26543
605	3658	26524
606	3662	26509
607	3667	26492
608	3671	26475
609	3676	26461
610	3681	26445
611	3686	26428
612	3690	26409
613	3694	26392
614	3699	26375
615	3703	26359
616	3708	26342
617	3712	26327
618	3717	26313
619	3722	26300
620	3727	26285
621	3731	26267
622	3736	26251
623	3740	26234
624	3745	26218
625	3749	26201
626	3754	26184
627	3758	26166
628	3763	26151
629	3767	26134
630	3772	26119
631	3776	26102
632	3781	26085
633	3785	26069
634	3790	26053
635	3794	26037
636	3799	26022
637	3803	26006
638	3808	25991
639	3812	25974
640	3817	25959
641	3821	25943
642	3826	25927
643	3830	25911
644	3835	25895
645	3839	25877
646	3844	25862
647	3848	25846
648	3852	25829
649	3857	25814
650	3861	25798
651	3866	25783
652	3870	25768
653	3875	25751
654	3879	25736
655	3884	25720
656	3888	25703
657	3893	25689
658	3897	25673
659	3901	25658
660	3906	25643
661	3911	25628
662	3915	25613
663	3919	25596
664	3924	25581
665	3928	25565
666	3933	25551
667	3938	25538
668	3942	25525
669	3947	25510
670	3952	25501
671	3958	25491
672	3962	25476
673	3967	25462
674	3971	25448
675	3976	25433
676	3980	25418
677	3986	25409
678	3990	25392
679	3995	25380
680	3999	25365
681	4004	25355
682	4009	25343
683	4014	25329
684	4019	25319
685	4024	25306
686	4028	25293
687	4033	25280
688	4038	25269
689	4043	25257
690	4048	25243
691	4053	25233
692	4058	25222
693	4062	25208
694	4067	25193
695	4072	25183
696	4077	25171
697	4081	25157
698	4087	25148
699	4091	25136
700	4096	25121
701	4101	25112
702	4106	25097
703	4111	25087
704	4115	25075
705	4121	25064
706	4126	25054
707	4130	25039
708	4135	25031
709	4141	25021
710	4145	25006
711	4149	24993
712	4155	24984
713	4160	24973
714	4164	24960
715	4169	24949
716	4174	24938
717	4179	24923
718	4184	24916
719	4189	24905
720	4194	24892
721	4198	24878
722	4203	24864
723	4207	24852
724	4212	24838
725	4216	24824
726	4221	24810
727	4225	24795
728	4229	24782
729	4234	24768
730	4238	24754
731	4243	24741
732	4247	24728
733	4252	24715
734	4257	24703
735	4261	24689
736	4266	24677
737	4270	24664
738	4275	24650
739	4279	24637
740	4284	24625
741	4288	24611
742	4293	24598
743	4297	24585
744	4302	24571
745	4306	24558
746	4311	24544
747	4315	24530
